1,12,2,-0.0048136,0.21129,0.0040787,0.29059,-23.09,2.5779,-22.32,-1.5947,0.127,0.35,2.2592
1,15,-2,-0.0057146,0.20642,-0.010439,0.28965,-41.657,-6.6419,-22.32,-1.5947,0.171,0.397,1.4415
1,35,20,-0.0051586,0.20744,-0.0080881,0.29009,-34.72,-5.13,-22.32,-1.5947,0.195,0.321,1.2112
1,46,4,-0.0031015,0.2268,-0.00082731,0.29024,-6.6018,-0.52526,-22.32,-1.5947,0.119,0.356,2.142
1,57,9,-0.0054528,0.20899,-0.0086444,0.2901,-31.241,-5.4802,-22.32,-1.5947,0.206,0.372,1.194
1,68,-1,-0.0027457,0.21143,-0.0057315,0.29018,-13.509,-3.6366,-22.32,-1.5947,0.145,0.346,1.6791
1,74,3,-0.0013686,0.2186,NaN,NaN,-4.209,NaN,-22.32,-1.5947,0.281,0.327,0.91817
1,96,-1,-0.0027593,0.20657,0.0066344,0.29007,-22.769,4.2128,-22.32,-1.5947,0.178,0.438,1.439
1,100,3,-0.0065787,0.21104,-0.00071164,0.29028,-30.793,-0.4516,-22.32,-1.5947,0.181,0.35,1.4374
1,120,2,-0.0031223,0.21198,0.0011379,0.29025,-14.611,0.72234,-22.32,-1.5947,0.175,0.375,1.5069
2,10,-1,0.0021329,0.2147,0.034371,0.28325,-21.747,-7.5652,-24.732,-2.738,0.118,0.36,2.2214
2,21,-6,0.0006329,0.20855,0.034839,0.28308,-25.768,-7.2482,-24.732,-2.738,0.171,0.469,1.5403
2,30,-4,8.0625e-05,0.2084,0.034119,0.2839,-29.45,-7.8709,-24.732,-2.738,0.183,0.373,1.3343
2,44,6,0.0011934,0.20716,0.037984,0.28314,-20.535,-5.4455,-24.732,-2.738,0.144,0.387,1.7594
2,49,-8,0.0010497,0.20808,0.044244,0.27962,-22.597,-0.93822,-24.732,-2.738,0.148,0.386,1.6363
2,61,13,-0.0022672,0.20688,0.042334,0.27991,-48.234,-2.0867,-24.732,-2.738,0.214,0.367,1.1596
2,77,6,-0.0012962,0.2068,0.046047,0.27737,-40.789,0.75792,-24.732,-2.738,0.221,0.389,1.0983
2,92,-14,0.010286,0.2182,0.052201,0.27352,-0.52259,5.3759,-24.732,-2.738,0.237,0.367,0.98978
2,97,-8,0.0019756,0.20869,0.032872,0.28393,-17.192,-8.6124,-24.732,-2.738,0.185,0.395,1.4549
2,119,6,-0.0073565,0.19393,0.053322,0.27271,-20.49,6.2528,-24.732,-2.738,0.293,0.6,1.3309
3,6,-1,0.019209,0.21651,0.069576,0.25722,-10.682,-9.4321,-8.6784,-3.3927,0.158,0.305,1.559
3,17,-15,0.0037946,0.20553,0.070047,0.25688,-25.55,-9.0789,-8.6784,-3.3927,0.184,0.365,1.2876
3,25,5,0.0071586,0.20768,0.076541,0.24758,-17,-1.8645,-8.6784,-3.3927,0.187,0.394,1.3416
3,43,1,0.011859,0.20619,0.074159,0.251,2.4263,-4.5189,-8.6784,-3.3927,0.116,0.357,2.2605
3,59,-2,0.01046,0.20528,0.076565,0.24879,3.2087,-2.5047,-8.6784,-3.3927,0.231,0.357,1.1818
3,70,14,0.021396,0.21128,0.078885,0.24375,2.2121,0.98943,-8.6784,-3.3927,0.136,0.417,1.8081
3,81,-10,0.0048136,0.20456,0.078623,0.24559,-13.47,-0.10556,-8.6784,-3.3927,0.206,0.414,1.2474
3,87,18,0.0060773,0.20448,0.074378,0.25092,-6.4093,-4.3971,-8.6784,-3.3927,0.232,0.322,1.0218
3,106,-1,0.0053057,0.20546,0.074169,0.25108,-15.843,-4.5531,-8.6784,-3.3927,0.179,0.45,1.4386
3,114,-10,0.0092245,0.20662,0.079203,0.24293,-5.6771,1.5385,-8.6784,-3.3927,0.206,0.391,1.2319
4,11,-9,0.013297,0.19131,0.090287,0.19352,33.16,4.1067,10.379,-0.01786,0.149,0.366,1.9379
4,18,5,0.018172,0.19774,0.0902,0.20654,7.0957,-4.1482,10.379,-0.01786,0.171,0.343,1.5434
4,36,-13,0.021277,0.19947,0.090522,0.19832,1.4273,1.061,10.379,-0.01786,0.162,0.342,1.6154
4,37,-3,0.012127,0.20019,0.089651,0.20842,-0.91671,-5.3647,10.379,-0.01786,0.157,0.345,1.5708
4,55,-18,0.010195,0.19395,0.090282,0.19271,30.694,4.6147,10.379,-0.01786,0.211,0.481,1.2718
4,62,-2,0.0017581,0.20991,0.089324,0.21295,-10.06,-8.2514,10.379,-0.01786,0.267,0.294,1.0569
4,83,-12,0.0082097,0.19905,0.089877,0.19498,6.5813,3.196,10.379,-0.01786,0.214,0.394,1.1787
4,93,-4,0.01451,0.19827,0.090184,0.20002,6.8079,-0.013757,10.379,-0.01786,0.177,0.364,1.6226
4,99,-11,0.0095015,0.19578,0.090462,0.19644,23.948,2.2509,10.379,-0.01786,0.203,0.371,1.3483
4,118,5,0.01343,0.19881,0.091217,0.19622,5.0489,2.3703,10.379,-0.01786,0.188,0.368,1.4782
5,2,4,0.0082792,0.19294,0.084188,0.16656,10.453,-8.3392,7.7395,-3.1894,0.16,0.356,1.6026
5,13,12,0.014909,0.19283,0.084733,0.16736,-4.3273,-8.9326,7.7395,-3.1894,0.16,0.333,1.8273
